input,output
What is the 'ssh-agent' command used for?,Holds private keys used for public key authentication.
How to add a key to ssh-agent?,eval $(ssh-agent); ssh-add ~/.ssh/id_rsa
What is the 'scp' command used for?,Secure Copy Protocol for transferring files between hosts.
How to copy a directory to a remote server?,scp -r local_dir user@remote:/remote_dir
What is the 'rsync' command used for?,Efficient file copying and synchronization tool.
How to sync two directories across servers?,rsync -avz -e ssh local_dir user@remote:/remote_dir
What is the 'tar' command used for?,"Tape Archive; combines files into one archive, often compressed."
How to create a .tar.gz archive?,tar -czvf archive.tar.gz dir_to_compress
What is the 'zip' command used for?,Compresses files into ZIP archives.
How to zip a directory recursively?,zip -r archive.zip dir_to_zip
What is the 'unzip' command used for?,Extracts files from ZIP archives.
How to extract a ZIP file silently?,unzip -q archive.zip
What is the 'gzip' command used for?,Compresses individual files.
How to compress a file using gzip?,gzip filename
What is the 'gunzip' command used for?,Decompresses gzip-compressed files.
How to decompress a .gz file?,gunzip filename.gz
What is the 'bzip2' command used for?,File compression tool offering better compression than gzip.
How to compress a file using bzip2?,bzip2 filename
What is the 'bunzip2' command used for?,Decompresses bzip2-compressed files.
How to decompress a .bz2 file?,bunzip2 filename.bz2
What is the 'xz' command used for?,High compression ratio file compressor.
How to compress a file with xz?,xz filename
What is the 'unxz' command used for?,Decompresses xz-compressed files.
question,response
Give any 3 examples of operating systems.,"Windows, Linux, and macOS"
What is the root home directory?,The root home directory is /root
Your company has terminated a server administrator. What is the first thing as an,administrator you should do to enhance the security?  Change the root password
How to check kernel version?,Use the command uname -a
How to become a root user from a regular user?,Use su - or sudo su to switch to the root user
How to check the computer name or hostname in Linux?,Use the hostname command
List 3 basic commands to navigate the filesystem.,"cd, pwd, and ls"
How to check network interfaces in Linux?,Use ifconfig or ip addr or ip a
List 3 different methods of adding a user.,"Methods include using useradd, adduser, or manually editing /etc/passwd and /etc/shadow files"
Your PC is configured with a DNS server address but not the default gateway.,"Can the PC access the internet?  No, without a default gateway, the PC cannot access the internet"
What is the purpose of “uniq” and “sed” commands?,"uniq removes duplicate lines from sorted input, sed is a stream editor for filtering and transforming text"
"You noticed that one of the Linux servers has no disk space left, how would you","troubleshoot that issue?  If using LVM, add more disk space and extend the logical volume. If not, add a new disk, create a partition, and link it to an existing filesystem"
What is the difference between TCP and UDP?,"TCP is connection-oriented and reliable, while UDP is connectionless and faster but less reliable"
What is a zombie process?,"in/harunseker/ 9  A zombie process is a process that has completed execution but still has an entry in the process table, waiting for the parent process to read its exit status"
How do you search for a pattern/word in a file and then replace it in an entire,file?  Use sed for search and replace operations
How to check the number of users logged in?,- Use who command
What is the command to view the calendar of 2024?,cal 2024
Which command is used to view disk space?,df -h
How to create a new group in Linux?,groupadd groupname
What is the command to send a message to everyone who is logged into the,system?  Use wall command
Which command is used to check the total number of disks?,fdisk -l
What is a mail server record in DNS?,MX (Mail Exchange) record
What does the following command line do? ps -ef | awk '{print $1}' |,"sort | uniq  Lists the first column of all running processes, sorts them, and removes duplicates"
You get a call that when a user goes to www.yourwebsite.com it fails and gets,"an error, how do you troubleshoot?  Check user internet connectivity, DNS configuration, server status, and web service available"
List 4 different directories in /?,"/etc, /bin, /tmp, /home"
What is the output of the following command:,$ tail -10 filename | head -1 in/harunseker/ 10  It will show the first line from the last 10 lines of a file
What are the different fields in /etc/passwd file?,The `/etc/passwd` file contains the following fields separated by colons (:):  Username: The user's login name.  Password: An 'x' character indicates that the password is stored in the `/etc/shadow` file.  UID: User ID number.  GID: Group ID number.  GECOS: User's full name or other information.  Home Directory: The path to the user's home directory.  Shell: The user's default shell
Which command is used to list the processes?,ps -ef The `ps -ef` command is used to list all the currently running processes
What is the difference between “hostname” and “uname” commands?,"hostname: Displays or sets the system's hostname.  uname: Prints system information, such as the kernel name, version, and other details. `uname -n` specifically prints the network node hostname, similar to the `hostname` command"
How to check system load?,You can check system load using the top and uptime commands
How to schedule jobs?,You can schedule jobs using crontab for repetitive tasks and at for one-time tasks
What is the 3rd field when setting up crontab?,"The third field in a crontab entry is the ""Day of the month"""
What is the “init #” for system reboot?,The `init` level for system reboot is `6`
How to restart a service?,systemctl restart servicename in/harunseker/ 11  sudo service servicename restart
How to shutdown a system?**,shutdown now  init 0  systemctl poweroff
What is the “ftp” command used for?,The `ftp` command is used to transfer files between a local system and a remote server using the FTP protocol
"Explain cron job syntax? First is minute, second is..?",The cron job syntax consists of five fields followed by the command to be executed: ○
Minute (0-59),○
Hour (0-23),○
Day of the month (1-31),○
Month (1-12 or JAN-DEC),○
How to delete a package in Linux?,rpm -e packagename  for RPM-based systems
What is the file name where user password information is saved?,The user password information is saved in the `/etc/shadow` file
